"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"May 7, 2020","New York",Gloversville,"Burlington Ave",0,0,N/A
"May 7, 2020",Indiana,Indianapolis,"2390 Woodglen Dr",1,0,N/A
"May 7, 2020",California,Wasco,"16th St and D St",1,0,N/A
"May 7, 2020",Texas,Raywood,"Co Rd 118 and FM 770",0,1,N/A
"May 7, 2020",Indiana,Muncie,"400 block of W Memorial Dr",0,1,N/A
"May 7, 2020",Texas,"San Antonio","11398 Bandera Rd",0,0,N/A
"May 7, 2020",California,Bakersfield,"E 3rd St and Whitlock St",1,0,N/A
"May 7, 2020",Illinois,Chicago,"2100 block of W 54th St",0,1,N/A
"May 7, 2020",Wisconsin,"La Crosse","1022 5th Ave S",0,1,N/A
"May 7, 2020",California,"Long Beach",I-710,1,0,N/A
"May 7, 2020",Georgia,Newnan,"Northgate Crossing Dr",0,0,N/A
"May 7, 2020",Georgia,Cartersville,"Floral Dr",0,1,N/A
"May 7, 2020",Nevada,"Las Vegas","I-15 and Russell Rd",1,0,N/A
"May 7, 2020",Illinois,Chicago,"7200 block of S Cornell Ave",0,1,N/A
"May 7, 2020",Illinois,Chicago,"1100 block of S Mozart St",0,1,N/A
"May 7, 2020",Georgia,Atlanta,"142 Joseph E Lowery Blvd SW",0,2,N/A
"May 7, 2020","North Carolina",Jacksonville,"123 Queens Rd",0,0,N/A
"May 7, 2020",Illinois,Chicago,"1451 W 112th Pl",1,0,N/A
"May 7, 2020",Illinois,Chicago,"300 block of S Kildare Ave",1,1,N/A
"May 7, 2020",Illinois,Chicago,"832 E 79th St",1,0,N/A
"May 7, 2020",Maryland,"Silver Spring","1500 block of Hadden Manor Ct",1,0,N/A
"May 7, 2020",Arizona,Phoenix,"2830 N 43rd Ave",0,1,N/A
"May 7, 2020",Illinois,Chicago,"3900 block of W 83rd St",1,0,N/A
"May 7, 2020",California,"Rancho Cordova (Gold River)","1901 Hazel Ave",0,0,N/A
"May 7, 2020",Maryland,Baltimore,"2100 block of Aiken St",1,0,N/A
"May 7, 2020",Illinois,Chicago,"1004 S Desplaines St",1,0,N/A
"May 7, 2020",Maryland,Baltimore,"2500 block of E Biddle St",1,0,N/A
"May 7, 2020",Washington,"Seattle (White Center)","10600 block of 16th Ave SW",0,1,N/A
"May 7, 2020","New York",Brooklyn,"180 Powell St",1,0,N/A
"May 7, 2020","West Virginia",Huntington,"1600 block of Doulton Ave",0,1,N/A
"May 7, 2020","New York",Bronx,"Elliot Pl and Walton Ave",0,1,N/A
"May 7, 2020",Florida,"Belle Glade","400 Block of Runyon Village",1,1,N/A
"May 7, 2020",Massachusetts,Revere,"320 Revere Beach Blvd",0,1,N/A
"May 7, 2020",Delaware,Wilmington,"600 block of Maryland Ave",0,1,N/A
"May 7, 2020","West Virginia",Huntington,"2500 block of 12th Ave",0,1,N/A
"May 7, 2020","New York","Corona (Queens)","4105 Vernon Blvd",0,0,N/A
"May 7, 2020","New York",Brooklyn,"464 Columbia St",0,0,N/A
"May 7, 2020","New York",Bronx,"2434 Prospect Ave",0,0,N/A
"May 7, 2020",Florida,Miami,"8700 NW 27th Ave",1,0,N/A
"May 7, 2020",Alabama,Auburn,"889 Lunsford Dr",0,1,N/A
"May 7, 2020",Ohio,Dayton,"200 block of W Siebenthaler Ave",0,1,N/A
"May 7, 2020",Arkansas,"Little Rock","145th St",1,0,N/A
"May 7, 2020",Texas,Houston,"15000 block of Ella Blvd",1,0,N/A
"May 7, 2020","New Jersey",Paterson,"40 block of N York St",0,0,N/A
"May 7, 2020","New Jersey",Paterson,"400 Block of Hamilton Ave",0,1,N/A
"May 7, 2020",Ohio,"Cincinnati (Westwood)","Sunshine Ave and McHenry Ave",0,1,N/A
"May 7, 2020","North Carolina",Graham,"W Harden St and N Maple St",1,0,N/A
"May 7, 2020","South Carolina",Jacksonville,N/A,0,3,N/A
"May 7, 2020",Ohio,Springfield,"400 block of E Madison Ave",0,0,N/A
"May 7, 2020",Ohio,Dayton,"2450 Dryden Rd",0,1,N/A
"May 7, 2020","District of Columbia",Washington,"4400 block of Quarles St NE",0,1,N/A
"May 7, 2020",Pennsylvania,Pittsburgh,"Larimer Ave and Broad St",1,0,N/A
"May 7, 2020",Oklahoma,"Oklahoma City (The Village)","W Hefner Rd and Victoria Pl",0,0,N/A
"May 7, 2020",Pennsylvania,Philadelphia,"2500 block of S Dewey St",0,1,N/A
"May 7, 2020",Oklahoma,Bethany,"7959 NW 23rd St",0,0,N/A
"May 7, 2020",Oklahoma,Tulsa,"E 49th St N and Martin Luther King Jr Blvd",0,3,N/A
"May 7, 2020",Texas,Midland,"3904 W Wall St",0,0,N/A
"May 7, 2020",Mississippi,Lexington,N/A,0,1,N/A
"May 7, 2020",Illinois,Chicago,"7051 S Vincennes Ave",0,1,N/A
"May 7, 2020",Texas,Austin,"5011 block of Burnet Rd",0,1,N/A
"May 7, 2020",Illinois,Chicago,"9900 block of S Vincennes Ave",0,1,N/A
"May 7, 2020",California,"Los Angeles",N/A,0,1,N/A
"May 7, 2020",Missouri,"Kansas City","Topping Ave and E 12th St",0,1,N/A
"May 6, 2020",Texas,Houston,"14200 block of Bridgeport Rd",3,1,N/A
"May 6, 2020",Michigan,Detroit,"Seminole St and E Warren Ave",1,0,N/A
"May 6, 2020",Michigan,Detroit,"Oakland Ave and E Philadelphia St",1,0,N/A
"May 6, 2020",Georgia,Lawrenceville,"724 High Ridge Pointe",2,0,N/A
"May 6, 2020",Alabama,"Muscle Shoals","273 Alabama Shores Rd",0,0,N/A
"May 6, 2020",Michigan,Inkster,"1313 Inkster Rd",0,1,N/A
"May 6, 2020",Michigan,Detroit,"8811 Greenfield Rd",0,1,N/A
"May 6, 2020",Tennessee,Bristol,"100 Ball Rd",0,1,N/A
"May 6, 2020",Colorado,"Commerce City","7100 block of Poplar St",0,1,N/A
"May 6, 2020",Missouri,"Kansas City","5224 E 12th St",1,0,N/A
"May 6, 2020",California,Sacramento,"Youngs Ave",0,1,N/A
"May 6, 2020",Louisiana,"Lake Charles","3400 block of Greinwich Blvd",1,0,N/A
"May 6, 2020",Missouri,"Kansas City","5401 Winner Rd",1,0,N/A
"May 6, 2020",Tennessee,Memphis,"2400 Airways Blvd",0,2,N/A
"May 6, 2020",California,Salinas,"800 block of Caribbean Ave",0,1,N/A
"May 6, 2020",California,"Los Angeles","S Hoover St and W 58th St",1,0,N/A
"May 6, 2020",Louisiana,"Baton Rouge","4300 block of Glen Oaks Dr",0,1,N/A
"May 6, 2020",California,Bakersfield,"3300 block of Trojes Ave",0,2,N/A
"May 6, 2020",Georgia,Newnan,"127 Franklin Rd",0,0,N/A
"May 6, 2020",Indiana,Gary,"3200 block of E 12th Ave",1,0,N/A
"May 6, 2020",Maryland,"Takoma Park","University Blvd E and 14th Ave",0,1,N/A
"May 6, 2020","North Carolina",Charlotte,"Central Ave",0,1,N/A
"May 6, 2020","New York",Brooklyn,"Marcy Ave and Ellery St",0,1,N/A
"May 6, 2020",Illinois,Chicago,"7145 S Francisco Ave",1,0,N/A
"May 6, 2020",Illinois,Chicago,"5500 block of W Flournoy St",0,1,N/A
"May 6, 2020",Illinois,Chicago,"12342 S Wallace St",0,1,N/A
"May 6, 2020",Illinois,Chicago,"724 W 95th St",0,1,N/A
"May 6, 2020",Georgia,Pembroke,"Old Groveland Rd",0,3,N/A
"May 6, 2020",Illinois,Chicago,"5500 block of S Indiana Ave",1,0,N/A
"May 6, 2020",Connecticut,"New Haven",N/A,0,1,N/A
"May 6, 2020",Illinois,Chicago,"11300 block of S Calumet Ave",0,1,N/A
"May 6, 2020",Illinois,Chicago,"5500 block of S Wabash Ave",0,1,N/A
"May 6, 2020",Louisiana,Harvey,"1000 block of Tenses Dr",0,1,N/A
"May 6, 2020",Massachusetts,Boston,"10 Fidelis Way",0,0,N/A
"May 6, 2020","South Carolina","North Charleston","3900 Block of Gullah Ave",1,0,N/A
"May 6, 2020","South Carolina","North Augusta","200 block of W Hugh St",1,2,N/A
"May 6, 2020",Tennessee,Nashville,"2100 block of Vine Hill Rd",0,1,N/A
"May 6, 2020",Virginia,Hampton,"200 block of Marcella Rd",0,1,N/A
"May 6, 2020",Indiana,Indianapolis,"W 62nd St and N Michigan Rd",1,0,N/A
"May 6, 2020","New York","Buffalo (Cheektowaga)","1203 Cleveland Dr",1,0,N/A
"May 6, 2020",Illinois,Chicago,"1600 block of W Jonquil Terrace",1,0,N/A
"May 6, 2020",Kentucky,Henderson,"600 block of 2nd St",0,1,N/A
"May 6, 2020",Nevada,Elko,"Colt Dr and Lamoille Hwy",0,0,N/A
"May 6, 2020",Georgia,Atlanta,"400 block of Joseph E Lowery Blvd",0,1,N/A
"May 6, 2020","New York",Rochester,"Ave D",0,1,N/A
"May 6, 2020","North Carolina",Graham,"4300 block of Wildlife Ln",0,0,N/A
"May 6, 2020",Indiana,"Fort Wayne","7300 block of Wayne Tr",1,0,N/A
"May 6, 2020","New York","Fulton (Palermo)",N/A,0,0,N/A
"May 6, 2020","North Carolina",Charlotte,"9825 University City Blvd",0,1,N/A
"May 6, 2020",Florida,"Hallandale (Hallandale Beach)","I-95 N",0,2,N/A
"May 6, 2020","West Virginia",Beckley,"1268 N Eisenhower Dr",1,0,N/A
"May 6, 2020",Indiana,Seymour,"2700 block of Bent Tree Ln",1,0,N/A
"May 6, 2020",Georgia,Atlanta,"2100 block of M.L.K. Jr Dr SW",0,1,N/A
"May 6, 2020",Wisconsin,"Milwaukee (Brown Deer)","W Brown Deer Rd and N Green Bay Rd",1,0,N/A
"May 6, 2020",Arizona,Cottonwood,"E Birch St and 15th St",0,1,N/A
"May 6, 2020",Wisconsin,Milwaukee,"W Stark St and N 40th St",0,1,N/A
"May 6, 2020",Wisconsin,Milwaukee,"1200 block of N 25th St",0,1,N/A
"May 6, 2020",Indiana,"Fort Wayne","4500 block of S Monroe St",0,1,N/A
"May 6, 2020",Illinois,Chicago,"5744 S Ashland Ave",0,1,N/A
"May 6, 2020",California,Modesto,"14th St and K St",0,1,N/A
"May 6, 2020",Tennessee,Woodbury,N/A,0,0,N/A
"May 6, 2020",California,Oakland,"66th Ave",0,1,N/A
"May 6, 2020",California,Inglewood,"700 block of N La Brea Ave",1,0,N/A
"May 6, 2020",Texas,"San Antonio","10300 block of Lynx Crossing",1,0,N/A
"May 6, 2020",California,"Los Angeles","109th St and Vermont Ave",0,1,N/A
"May 6, 2020",Texas,"Tom Green (county)",N/A,0,0,N/A
"May 6, 2020",California,"Los Angeles","4300 block of La Salle Ave",0,1,N/A
"May 6, 2020",California,"Los Angeles","111th St and Western Ave",1,1,N/A
"May 6, 2020",Tennessee,Memphis,"2536 N Watkins St",0,1,N/A
"May 6, 2020","South Carolina",Summerville,"115 Logan Dr",0,2,N/A
"May 6, 2020",Florida,"Hollywood (Miramar)","2900 block of SW 120th Terrace",0,1,N/A
"May 6, 2020",Maryland,Baltimore,"2400 block of Bridgehampton Dr",2,0,N/A
"May 6, 2020",Maryland,Baltimore,"800 block of N Hilton St",0,1,N/A
"May 6, 2020",Maryland,Baltimore,"4400 block of Flowerton Rd",0,1,N/A
"May 6, 2020",Florida,"Saint Augustine","Rojo Rd",0,0,N/A
"May 6, 2020","District of Columbia",Washington,"1500 block of F St NE",0,0,N/A
"May 6, 2020",Iowa,"Des Moines","4906 Ingersoll Ave",0,3,N/A
"May 6, 2020",Florida,"Cape Coral","SE 8th Terrace",0,0,N/A
"May 6, 2020",Tennessee,Memphis,"Barron Ave and Dogwood Dr",2,2,N/A
"May 6, 2020",Oklahoma,Norman,"NE 36th St and Alameda St",0,1,N/A
"May 6, 2020","South Carolina","North Charleston","Ashley Phosphate Rd",0,1,N/A
"May 6, 2020",Alabama,Montgomery,"1600 block of S Holt St",0,1,N/A
"May 6, 2020",Alabama,Montgomery,"2900 block of McQueen St",1,0,N/A
"May 6, 2020",Massachusetts,"Fall River","Warren St and Mott St",1,0,N/A
"May 6, 2020",Missouri,"Saint Louis (Clayton)",N/A,1,0,N/A
"May 6, 2020",California,Thermal,"68000 block of Harrison St",0,1,N/A
"May 6, 2020",Florida,Interlachen,"Arrowhead Dr",0,1,N/A
"May 6, 2020",Indiana,"Oakland City","7858 S Meridian Rd",1,0,N/A
"May 6, 2020","New Jersey",Bayonne,"W 33rd St",0,0,N/A
"May 6, 2020","New York",Rochester,"Lyell Ave",0,3,N/A
"May 6, 2020",Oregon,Portland,"SE Ash St and SE 122nd Ave",0,1,N/A
"May 6, 2020","New Jersey",Newark,"S Orange Ave and S 8th St",0,1,N/A
"May 6, 2020",Washington,Yakima,"600 block of N 39th St",0,1,N/A
"May 6, 2020",Ohio,Toledo,"Floyd St and Ashland Ave",1,0,N/A
"May 6, 2020",Ohio,Toledo,"2000 block of Fulton St",1,0,N/A
"May 6, 2020",Washington,"Seattle (White Center)","10700 block of 14th Ave SW",1,0,N/A
"May 6, 2020","New Jersey",Orange,"Scotland Rd and McChesney St",0,0,N/A
"May 6, 2020",Wisconsin,Beloit,"Tenth St and Liberty Ave",0,0,N/A
"May 6, 2020",Minnesota,"Minneapolis (Brooklyn Center)","5711 Xerxes Ave N",0,1,N/A
"May 6, 2020",Colorado,"Colorado Springs","6000 block of Cache Dr",1,0,N/A
"May 6, 2020",Ohio,Akron,"Oregon Ave and 16th St SW",0,0,N/A
"May 6, 2020",Pennsylvania,Philadelphia,"180 W Girard Ave",1,1,N/A
"May 6, 2020",Pennsylvania,Mifflinburg,"1304 Mountain Rd",0,0,N/A
"May 6, 2020",Oklahoma,"Oklahoma City","9001 S Pennsylvania Ave",0,3,N/A
"May 6, 2020",Texas,Garland,"100 block of Lake Dr",1,0,N/A
"May 6, 2020",Oklahoma,"Broken Arrow","E Kenosha St and S 257th E Ave",2,0,N/A
"May 6, 2020",Alabama,Montgomery,"4400 block of Danbury Ct",1,0,N/A
"May 6, 2020",Nebraska,Lincoln,"2545 Theresa St",0,0,N/A
"May 6, 2020",Texas,Houston,"13902 White Heather Dr",0,1,N/A
"May 6, 2020",Texas,Houston,"4 Maxey Rd",1,1,N/A
"May 6, 2020",Mississippi,Hattiesburg,"27 Lake Forgetful",0,0,N/A
"May 6, 2020",Georgia,Albany,"1900 block of Meadow Dr",1,3,N/A
"May 6, 2020",Arizona,Phoenix,"E South Mountain Ave and S 12th St",0,1,N/A
"May 6, 2020",Arizona,Phoenix,"7100 N 19th Ave",2,0,N/A
"May 6, 2020",Virginia,"Virginia Beach","6100 block of Blacksmith Ct",0,2,N/A
"May 6, 2020",California,"Los Angeles",N/A,0,1,N/A
"May 6, 2020",California,"Los Angeles","4600 block of S Gramercy Place",0,1,N/A
"May 6, 2020",California,"Los Angeles","11th Ave and W Florence Ave",0,1,N/A
"May 6, 2020",Pennsylvania,Stroudsburg,"300 block of Main St",0,1,N/A
"May 6, 2020",California,"Los Angeles","6400 block of Vermont Ave",0,0,N/A
"May 6, 2020",Missouri,"Saint Louis","10000 block of Sheffingdell Ct",1,0,N/A
"May 6, 2020",Oklahoma,"Oklahoma City (Del City)","3000 block of Simmons Dr",1,0,N/A
"May 6, 2020",Texas,Houston,"6630 Harbor Town Dr",0,1,N/A
"May 6, 2020",Texas,Houston,"9510 Beechnut St",0,1,N/A
"May 5, 2020",Missouri,"Saint Louis (University City)","6800 block of Corbitt Ave",1,1,N/A
"May 5, 2020",Missouri,Fenton,"1210 Sugar Creek Square",0,1,N/A
"May 5, 2020",California,Sacramento,"800 block of Lampasas Ave",0,1,N/A
"May 5, 2020",Arkansas,"Little Rock","106 Lookout Point",0,0,N/A
"May 5, 2020",Louisiana,"Baton Rouge","4400 block of Winbourne Ave",0,1,N/A
"May 5, 2020",Alabama,"Birmingham (Ensley)","1000 block of 43rd St",0,2,N/A
"May 5, 2020",Kansas,Pittsburg,"300 block of E Monroe St",0,0,N/A
"May 5, 2020",Missouri,"Lake Ozark","Big Bear Rd",0,0,N/A
"May 5, 2020",Michigan,Detroit,"Westwood St and Tireman Ave",0,0,N/A
"May 5, 2020",Michigan,Detroit,"Frisbee St and Winston St",1,0,N/A
"May 5, 2020",Nevada,"Las Vegas","3000 S Sandhill Rd",1,0,N/A
"May 5, 2020",Missouri,"Lake Ozark","Horseshoe Bend Pkwy",0,0,N/A
"May 5, 2020",Kentucky,Lexington,"750 Newtown Ct",0,2,N/A
"May 5, 2020",Mississippi,"Yazoo City",MS-3,0,0,N/A
"May 5, 2020",Missouri,"Kansas City","9th St and Bales Ave",1,0,N/A
"May 5, 2020",Missouri,"Saint Louis","1400 block of Salisbury St",0,1,N/A
"May 5, 2020",Ohio,Elyria,"Allen St and Melvyn Ln",0,0,N/A
"May 5, 2020",Louisiana,"Baton Rouge","9690 Perkins Rd",0,0,N/A
"May 5, 2020",Pennsylvania,Philadelphia,"1400 block of W 52nd St",1,0,N/A
"May 5, 2020",Michigan,Detroit,"15300 block of Fairfield St",0,1,N/A
"May 5, 2020",Tennessee,Athens,"Walker St",1,1,N/A
"May 5, 2020",Alabama,Montgomery,"2700 block of Chestnut St",0,1,N/A
"May 5, 2020",Kansas,"Prairie Village","3531 Somerset Dr",1,0,N/A
"May 5, 2020",Michigan,Detroit,"Manor St and Keeler St",0,0,N/A
"May 5, 2020",Virginia,Hampton,"Sacramento Dr",1,0,N/A
"May 5, 2020",Michigan,Detroit,"18000 block of Winthrop St",0,0,N/A
"May 5, 2020",Texas,Houston,"Milam St and Jefferson St",1,0,N/A
"May 5, 2020",Michigan,Detroit,"9300 block of Grandville Ave",0,0,N/A
"May 5, 2020",Illinois,Cairo,"2300 block of Pine St",0,1,N/A
"May 5, 2020",Kansas,Topeka,"1919 SE Adams St",0,0,N/A
"May 5, 2020",Missouri,"Saint Louis (Webster Groves)","I-44 and S Elm Ave",1,1,N/A
"May 5, 2020",Louisiana,"Baton Rouge","13000 block of Azalea Park Dr",0,1,N/A
"May 5, 2020",California,"Half Moon Bay","800 block of Main St",1,0,N/A
"May 5, 2020",Michigan,Detroit,"Southfield Fwy and 7 Mile Rd",0,0,N/A
"May 5, 2020",California,Bakersfield,"1400 block of Flower St",0,0,N/A
"May 5, 2020",Texas,"San Antonio","Five Palms Dr and Shoreview Pl",1,0,N/A
"May 5, 2020",Georgia,Macon,"3300 Macon Tech Dr",1,0,N/A
"May 5, 2020",California,Delano,"800 block of Maria Way",1,2,N/A
"May 5, 2020",Virginia,Richmond,"3100 block of Nine Mile Rd",0,2,N/A
"May 5, 2020",Louisiana,Melville,N/A,0,0,N/A
"May 5, 2020",Louisiana,Abbeville,"Greene St and I J Joiner St",0,0,N/A
"May 5, 2020",Massachusetts,Boston,"569 Washington St",0,0,N/A
"May 5, 2020",Indiana,Hammond,"5720 Columbia Ave",1,3,N/A
"May 5, 2020",Texas,"San Antonio","1415 N Main Ave",0,1,N/A
"May 5, 2020",Florida,Sanford,"Garrison Dr",1,0,N/A
"May 5, 2020",Vermont,"Bellows Falls","Rockingham St",1,0,N/A
"May 5, 2020",Florida,"Saint Cloud","Georgia Ave and 3rd St",1,0,N/A
"May 5, 2020","North Carolina",Gastonia,"E Park Ave",1,0,N/A
"May 5, 2020",Florida,Tavares,"4800 block of Marsh Harbor Dr",1,0,N/A
"May 5, 2020",Oregon,"Grants Pass","3900 block of Foothill Blvd",0,2,N/A
"May 5, 2020",Connecticut,Bridgeport,"Yale ST and State St",0,0,N/A
"May 5, 2020",Massachusetts,Boston,"76 Walnut Pk",0,0,N/A
"May 5, 2020",Illinois,Alton,"600 block of Porter St",0,1,N/A
"May 5, 2020",Illinois,Chicago,"3500 block of S Paulina Ave",0,1,N/A
"May 5, 2020",Illinois,Chicago,"4600 block of S Marshfield Ave",1,0,N/A
"May 5, 2020","South Carolina",Latta,"721 US-501",2,0,N/A
"May 5, 2020",Illinois,"East Saint Louis (Cahokia)","1300 block of Richard Ave",0,1,N/A
"May 5, 2020","North Carolina",Wilmington,"1600 block of S 11th St",0,1,N/A
"May 5, 2020","New York","Mount Vernon","Darling Ave",1,0,N/A
"May 5, 2020","New Mexico",Albuquerque,"1602 Coors Blvd NW",0,1,N/A
"May 5, 2020","District of Columbia",Washington,"4300 block of Nannie Helen Burroughs Ave NE",0,1,N/A
